Mes, Acciones a Realizar, Mensaje Principal
Enero, Spot en la radio y anuncio en periódico local, "Con Monty al frente, ¡Los Osos inician con fuerza el año!"
Febrero, Entrevista en TV local con jugadores destacados, "Revive los momentos dorados de Los Osos con Monty en [canal local]"
Marzo, Publicidad en la radio sobre venta de boletos, "¡Vive la experiencia Oso en el estadio con Monty!"
Abril, Anuncio en periódico sobre promociones, "Con tu entrada, ¡foto con Monty! Historia y pasión en cada juego."
Mayo, Spot en la radio de estadísticas destacadas, "Los Osos y Monty: ¡Un legado de victorias que sigue creciendo!"
Junio, Cobertura televisiva de juegos destacados, "Con Monty celebrando en cada juego, ¡no te pierdas la emoción Oso!"
Julio, Spot de radio para eventos especiales del estadio, "Celebra con Monty el verano en el estadio. ¡Eventos especiales te esperan!"
Agosto, Entrevistas en TV a jugadores destacados y a Monty, "El corazón del equipo: nuestros jugadores y Monty hablan en [canal local]"
Septiembre, Anuncio en periódico sobre la preparación para la recta final, "Con Monty alentando, ¡vamos por más victorias!"
Octubre, Publicidad en la radio sobre el final de temporada, "Con Monty, celebramos una temporada inolvidable. ¡Acompáñanos!"
Noviembre, Cobertura en TV de resumen de la temporada, "Monty y Los Osos: un recorrido por una temporada épica."
Diciembre, Resumen anual en periódico y TV, "Monty y Los Osos: Un año de triunfos y pasión. ¡Gracias afición!"
